best_fitness,best_acc,fitness,acc,best_test_fitness,best_test_acc
-0.48217877745628357,0.5273615717887878,-0.48217877745628357,0.5273615717887878,-0.37731796503067017,0.5277450084686279
-0.10004004091024399,0.6730696558952332,-0.10004004091024399,0.6730696558952332,-0.08972997963428497,0.6914576292037964
-0.08385451138019562,0.8081836104393005,-0.08385451138019562,0.8081836104393005,-0.06280779838562012,0.7981874942779541
-0.02629154920578003,0.8613723516464233,-0.02629154920578003,0.8613723516464233,-0.04229757934808731,0.8632544279098511
-0.02060939557850361,0.9087144136428833,-0.02060939557850361,0.9087144136428833,-0.01583479531109333,0.9208210110664368
-0.02060939557850361,0.9087144136428833,-0.024936389178037643,0.9511000514030457,-0.01583479531109333,0.9208210110664368
-0.02060939557850361,0.9087144136428833,-0.02278059534728527,0.9732727408409119,-0.01583479531109333,0.9208210110664368
-0.011791997589170933,0.9822309017181396,-0.011791997589170933,0.9822309017181396,-0.01793372444808483,0.9824020862579346
-0.011791997589170933,0.9822309017181396,-0.013380182906985283,0.98590487241745,-0.01793372444808483,0.9824020862579346
-0.006830316968262196,0.986185610294342,-0.006830316968262196,0.986185610294342,-0.00906295981258154,0.986350417137146
-0.00513567915186286,0.9911631941795349,-0.00513567915186286,0.9911631941795349,-0.011312158778309822,0.9909310936927795
